species_id,family,genus,species,id_level,full_id
1,,,,family,0
2,,,a2,family,0
3,acanthaceae,aphelandra,attenuata,species,1
4,acanthaceae,aphelandra,deppeana,species,1
5,acanthaceae,aphelandra,hieronyma,species,1
6,acanthaceae,aphelandra,m1,genus,0
7,acanthaceae,barleria,m1,genus,0
8,acanthaceae,bravaisia,integerrina,species,1
9,acanthaceae,dicliptera,m1,genus,0
10,acanthaceae,habracanthus,m1,genus,0
11,acanthaceae,habracanthus,sanguineus,species,1
12,acanthaceae,justicia,aurea,species,1
13,acanthaceae,m1,m1,family,0
14,acanthaceae,mendoncia,m1,genus,0
15,acanthaceae,mendoncia,retusa,species,1
16,acanthaceae,poikilacanthus,macranthus,species,1
17,acanthaceae,ruellia,macrophylla,species,1
18,acanthaceae,thomandersia,m1,genus,0
19,acanthaceae,thommandersia,hensii,species,1
20,aceraceae,acer,caesium,species,1
21,aceraceae,acer,crataegifolia,species,1
22,aceraceae,acer,negundo,species,1
23,aceraceae,acer,pensylvanicum,species,1
24,aceraceae,acer,platanoides,species,1
25,aceraceae,acer,pseudoplatanus,species,1
26,aceraceae,acer,rubrum,species,1
27,aceraceae,acer,saccarum,species,1
28,aceraceae,acer,saccharinum,species,1
29,aceraceae,acer,saccharum,species,1
30,aceraceae,acer,spicatum,species,1
31,achatocarpaceae,achatocarpus,gracilia,species,1
32,achatocarpaceae,achatocarpus,gracilis,species,1
33,achatocarpus,achatocarpus,gracilis,species,1
34,actinidiaceae,saurauia,brachybotrys,species,1
35,actinidiaceae,saurauia,bullosa,species,1
36,actinidiaceae,saurauia,laevigata,species,1
37,actinidiaceae,saurauia,leucocephala,species,1
38,actinidiaceae,saurauia,m1,genus,0
39,actinidiaceae,saurauia,m2,genus,0
40,actinidiaceae,saurauia,parviflora,species,1
41,aextoxicaceae,aextoxicon,punctatum,species,1
42,agavaceae,agave,m1,genus,0
43,agavaceae,dracaena,adamii,species,1
44,agavaceae,dracaena,elliptica,species,1
45,agavaceae,dracaena,m1,genus,0
46,agavaceae,dracaena,m2,genus,0
47,agavaceae,dracaena,m3,genus,0
48,agavaceae,dracaena,m4,genus,0
49,alangiaceae,alangium,ebenaceum,species,1
50,alangiaceae,alangium,m1,genus,0
51,alangiaceae,alangium,ridleyi,species,1
52,amaranthaceae,chamissoa,acuminata var. maximilianii,species,1
53,amaranthaceae,chamissoa,altissima,species,1
54,amaranthaceae,chamissoa,m1,genus,0
55,amaranthaceae,chamissoa/tournefortia,m1,genus,0
56,amaranthaceae,chamissoa?,m1,genus,0
57,amaranthaceae,iresine,angustifolia,species,1
58,amaranthaceae,iresine,diffusa,species,1
59,amaranthaceae,iresine,iterrupta,species,1
60,amaranthaceae,iresine,m1,genus,0
61,amaranthaceae,lagrezia,monosperma,species,1
62,amaranthaceae,m1,m1,family,0
63,amaranthaceae,pfaffia,paniculata,species,1
64,amaranthaceae,pleuropetalum?,m1,genus,0
65,amaranthaceae/verbenaceae,aegiphila,m1,genus,0
66,anacar/diaceae,mangifera,beccarii,species,1
67,anacardiaceae,anacardium,excelsor,species,1
68,anacardiaceae,anacardium,excelsum,species,1
69,anacardiaceae,anacardium,m1,genus,0
70,anacardiaceae,anacardium,occidentalis,species,1
71,anacardiaceae,androtium,astylum,species,1
72,anacardiaceae,astronium,balansae,species,1
73,anacardiaceae,astronium,fraxinifolium,species,1
74,anacardiaceae,astronium,gracile,species,1
75,anacardiaceae,astronium,graveolens,species,1
76,anacardiaceae,astronium,lecontei,species,1
77,anacardiaceae,astronium,m1,genus,0
78,anacardiaceae,astronium,urundeuva,species,1
79,anacardiaceae,buchanania,m1,genus,0
80,anacardiaceae,buchanania,m2,genus,0
81,anacardiaceae,buchanania,reticulata,species,1
82,anacardiaceae,comocladia,engleriana,species,1
83,anacardiaceae,comocladia,glabra,species,1
84,anacardiaceae,comocladia,velutina,species,1
85,anacardiaceae,dracontomelon,brincho,species,1
86,anacardiaceae,dracontomelon,brinco,species,1
87,anacardiaceae,euroschinus,elegans,species,1
88,anacardiaceae,euroschinus,verrucosus,species,1
89,anacardiaceae,gluta,beccarii,species,1
90,anacardiaceae,gluta,cinnamomea,species,1
91,anacardiaceae,gluta,malayana,species,1
92,anacardiaceae,holigarna,grahamii,species,1
93,anacardiaceae,lannea,m1,genus,0
94,anacardiaceae,m1,m1,family,0
95,anacardiaceae,mangifera,altissima,species,1
96,anacardiaceae,mangifera,altissima cf,species,1
97,anacardiaceae,mangifera,foetida,species,1
98,anacardiaceae,mangifera,indica,species,1
99,anacardiaceae,mangifera,m1,genus,0
100,anacardiaceae,mangifera,magnifica,species,1
101,anacardiaceae,mangifera,monandra,species,1
102,anacardiaceae,mangifera,quadrifida,species,1
103,anacardiaceae,mangifera,superba,species,1
104,anacardiaceae,mauria,heterophylla,species,1
105,anacardiaceae,mauria,m1,genus,0
106,anacardiaceae,melanochila,angustifolia,species,1
107,anacardiaceae,melanochyla,auriculata,species,1
108,anacardiaceae,melanochyla,tomentosa,species,1
109,anacardiaceae,melanorrhoea,oba,species,1
110,anacardiaceae,melanorrhoea,wallichii,species,1
111,anacardiaceae,metopium,brownei,species,1
112,anacardiaceae,metopium,brownii,species,1
113,anacardiaceae,mosquitoxylon,jamaicense,species,1
114,anacardiaceae,myracodruon,urundeuva,species,1
115,anacardiaceae,ochoterenaea,m1,genus,0
116,anacardiaceae,operculicarya,decaryi,species,1
117,anacardiaceae,parishia,m1,genus,0
118,anacardiaceae,parishia,minor,species,1
119,anacardiaceae,poupartia,minor,species,1
120,anacardiaceae,protorhus,m1,genus,0
121,anacardiaceae,protorhus,m3,genus,0
122,anacardiaceae,protorhus,oblongifolia,species,1
123,anacardiaceae,pseudospondias,microcarpa,species,1
124,anacardiaceae,rhus,copallinum,species,1
125,anacardiaceae,rhus,glabra,species,1
126,anacardiaceae,rhus,mysorensis,species,1
127,anacardiaceae,schinopsis,balansae,species,1
128,anacardiaceae,schinopsis,brasiliensis,species,1
129,anacardiaceae,schinopsis,glabra,species,1
130,anacardiaceae,schinopsis,haenkeana,species,1
131,anacardiaceae,schinopsis,peruviana,species,1
132,anacardiaceae,schinus,piliferus,species,1
133,anacardiaceae,semecarpus,glauca,species,1
134,anacardiaceae,semecarpus,longifolius,species,1
135,anacardiaceae,semecarpus,m1,genus,0
136,anacardiaceae,semecarpus,magnifica,species,1
137,anacardiaceae,semecarpus,trachyphyllus,species,1
138,anacardiaceae,semicarpus,neocaledonica,species,1
139,anacardiaceae,sorindeia,juglandifolia,species,1
140,anacardiaceae,sorindeia,madagascariensis,species,1
141,anacardiaceae,sorindeia,mildbraedii,species,1
142,anacardiaceae,sorindeia,nitidula,species,1
143,anacardiaceae,sorindeia,zenkeri cf,species,1
144,anacardiaceae,spondias,m1,genus,0
145,anacardiaceae,spondias,mombin,species,1
146,anacardiaceae,spondias,purpurea,species,1
147,anacardiaceae,spondias,radlkoferi,species,1
148,anacardiaceae,spondias,radlkoteri,species,1
149,anacardiaceae,swintonia,schwenkei,species,1
150,anacardiaceae,swintonia,spicifera,species,1
151,anacardiaceae,tapiria,guianensis,species,1
152,anacardiaceae,tapirira,guianensis,species,1
153,anacardiaceae,tapirira,m1,genus,0
154,anacardiaceae,thyrsodium,cf spruceanum,species,1
155,anacardiaceae,thyrsodium,m1,genus,0
156,anacardiaceae,thyrsodium,schomburgkiana,species,1
157,anacardiaceae,thyrsodium,spruceanum,species,1
158,anacardiaceae,toxicodendron,ambigua,species,1
159,anacardiaceae,toxicodendron,m1,genus,0
160,anacardiaceae,toxicodendron,radicans,species,1
161,anacardiaceae,toxicodendron,striatum,species,1
162,anacardiaceae,toxicodendron,succedeana,species,1
163,anacardiaceae,toxicodendron,trichocarpa,species,1
164,anacardiaceae,trichoscypha,abut,species,1
165,anacardiaceae,trichoscypha,acuminata,species,1
166,anacardiaceae,trichoscypha,aff acuminata,species,1
167,anacardiaceae,trichoscypha,m1,genus,0
168,anacardiaceae,trichoscypha,m2,genus,0
169,anacardiaceae,unonopsis,stipitata,species,1
170,ancistrocladaceae,ancistrocladus,barteri,species,1
171,ancistrocladaceae,ancistrocladus,ealaensis,species,1
172,anisophyleaceae,anisophyllea,corneri,species,1
173,anisophyleaceae,gluta,malayana,species,1
174,anisophylleaceae,poga,oleosa,species,1
175,annonaceae,alphonsea,elliptica,species,1
176,annonaceae,alphonsea,johorenis,species,1
177,annonaceae,alphonsea,maingayi,species,1
178,annonaceae,anaxagorea,brachycarpa,species,1
179,annonaceae,anaxagorea,brevipes,species,1
180,annonaceae,anaxagorea cf,m1,genus,0
181,annonaceae,anaxagorea,crassipetala,species,1
182,annonaceae,anaxagorea,dolichocarpa,species,1
183,annonaceae,anaxagorea,javanica,species,1
184,annonaceae,anaxagorea,jovanica,species,1
185,annonaceae,anaxagorea,m1,genus,0
186,annonaceae,anaxagorea,phaeocarpa,species,1
187,annonaceae,anaxogorea,m1,genus,0
188,annonaceae,annona,aff ambotay,species,1
189,annonaceae,annona,aff impressivenia,species,1
190,annonaceae,annona,ambotay,species,1
191,annonaceae,annona,ambotay?,species,1
192,annonaceae,annona,cf foetida,species,1
193,annonaceae,annona,duckei,species,1
194,annonaceae,annona,hayesii,species,1
195,annonaceae,annona,holosericea,species,1
196,annonaceae,annona,hypoglauca,species,1
197,annonaceae,annona,hystricomorpha,species,1
198,annonaceae,annona,jahnii,species,1
199,annonaceae,annona,m1,genus,0
200,annonaceae,annona,m2,genus,0
201,annonaceae,annona,m3,genus,0
202,annonaceae,annona,montana,species,1
203,annonaceae,annona,palmeri,species,1
204,annonaceae,annona,purpurea,species,1
205,annonaceae,annona,scandens,species,1
206,annonaceae,annona,spraguei,species,1
207,annonaceae,annona?,m1,genus,0
208,annonaceae,anomianthus,dulcis,species,1
209,annonaceae,anonidium,mannii,species,1
210,annonaceae,artabotrys,borneensis,species,1
211,annonaceae,artabotrys,brachypetalus,species,1
212,annonaceae,artabotrys,m1,genus,0
213,annonaceae,artabotrys,m2,genus,0
214,annonaceae,artabotrys,m3,genus,0
215,annonaceae,artabotrys,rhopalocarpus,species,1
216,annonaceae,artabotrys,zeylanicus,species,1
217,annonaceae,asimina,triloba,species,1
218,annonaceae,aspidosperma,magaphyllum,species,1
219,annonaceae,bocageopsis,cf multiflora,species,1
220,annonaceae,bocageopsis,m1,genus,0
221,annonaceae,bocageopsis,multiflora,species,1
222,annonaceae,bocageopsis?,m1,genus,0
223,annonaceae,cf guatteria/dendrobangia,m1,genus,0
224,annonaceae,cleistopholis,m1,genus,0
225,annonaceae,cleistopholis,m2,genus,0
226,annonaceae,cleistopholis,patens,species,1
227,annonaceae,cremastosperma,gracilipes,species,1
228,annonaceae,cremastosperma,m1,genus,0
229,annonaceae,cremastosperma,microcarpum,species,1
230,annonaceae,cremastosperma,pacificum,species,1
231,annonaceae,cremastosperma,seiophylla?,species,1
232,annonaceae,crematosperma,cauliflorum,species,1
233,annonaceae,crematosperma,microcarpum,species,1
234,annonaceae,cyathestemma?,m1,genus,0
235,annonaceae,cyathocalyx,havilandii,species,1
236,annonaceae,cyathocalyx,m1,genus,0
237,annonaceae,cyathocalyx,m2,genus,0
238,annonaceae,cyathostemma,excelsa,species,1
239,annonaceae,cyathostemma,m1,genus,0
240,annonaceae,cyathostemma,m2,genus,0
241,annonaceae,cymbopetalum,m1,genus,0
242,annonaceae,cymbopetalum,penduliflora,species,1
243,annonaceae,dasymaschalon,clusiiflorum,species,1
244,annonaceae,desmopsis,heterosepala,species,1
245,annonaceae,desmopsis,m1,genus,0
246,annonaceae,desmopsis,panamensis,species,1
247,annonaceae,desmos,cochinchinensis,species,1
248,annonaceae,desmos,m1,genus,0
249,annonaceae,diclinanona,m1,genus,0
250,annonaceae,diclinanona,tessmannii,species,1
251,annonaceae,duguetia,cauliflora,species,1
252,annonaceae,duguetia cf,m1,genus,0
253,annonaceae,duguetia,flagellaris,species,1
254,annonaceae,duguetia,latifolia,species,1
255,annonaceae,duguetia,m1,genus,0
256,annonaceae,duguetia,m2,genus,0
257,annonaceae,duguetia,m3,genus,0
258,annonaceae,duguetia,m4,genus,0
259,annonaceae,duguetia,m5,genus,0
260,annonaceae,duguetia,macrophylla,species,1
261,annonaceae,duguetia,odorata,species,1
262,annonaceae,duguetia,paraensis,species,1
263,annonaceae,duguetia,peruviana,species,1
264,annonaceae,duguetia,pycnestera,species,1
265,annonaceae,duguetia,quitarensis,species,1
266,annonaceae,duguetia,spixiana,species,1
267,annonaceae,duguetia,trunciflora,species,1
268,annonaceae,duguetia?,m1,genus,0
269,annonaceae,ellipeia?,m1,genus,0
270,annonaceae,enantia,chlorantha,species,1
271,annonaceae,enantia,m1,genus,0
272,annonaceae,enicosanthum,fuscum,species,1
273,annonaceae,enicosanthum,grandifolium,species,1
274,annonaceae,ephedranthus,guianensis,species,1
275,annonaceae,fissistigma,glaucescens,species,1
276,annonaceae,fissistigma,m1,genus,0
277,annonaceae,fissistigma?,m2,genus,0
278,annonaceae,friesedielsia,desmos cf,species,1
279,annonaceae,friesodielsia,engleriana,species,1
280,annonaceae,friesodielsia,m1,genus,0
281,annonaceae,fusaea aff,m1,genus,0
282,annonaceae,fusaea,longifolia,species,1
283,annonaceae,fusaea,m1,genus,0
284,annonaceae,goniothalamus,m1,genus,0
285,annonaceae,goniothalamus,m2,genus,0
286,annonaceae,goniothalamus,malayanus,species,1
287,annonaceae,goniothalamus,rufus,species,1
288,annonaceae,guatteria,acutissima,species,1
289,annonaceae,guatteria,aerruginosei,species,1
290,annonaceae,guatteria,aeruginosa,species,1
291,annonaceae,guatteria,aff cargadero,species,1
292,annonaceae,guatteria,aff ulea,species,1
293,annonaceae,guatteria,amplifolia,species,1
294,annonaceae,guatteria,bilariana,species,1
295,annonaceae,guatteria,boliviana,species,1
296,annonaceae,guatteria,brevicuspis,species,1
297,annonaceae,guatteria,cargadero,species,1
298,annonaceae,guatteria,cf amplifolia,species,1
299,annonaceae,guatteria,dioscoreoides,species,1
300,annonaceae,guatteria,dumetorum,species,1
301,annonaceae,guatteria,dumetorum cf,species,1
302,annonaceae,guatteria,m1,genus,0
303,annonaceae,guatteria,m2,genus,0
304,annonaceae,guatteria,m3,genus,0
305,annonaceae,guatteria,m4,genus,0
306,annonaceae,guatteria,m5,genus,0
307,annonaceae,guatteria,megalophylla,species,1
308,annonaceae,guatteria,multinervia,species,1
309,annonaceae,guatteria,pilosula,species,1
310,annonaceae,guatteria,recurvisepala,species,1
311,annonaceae,guatteria,schomburgkiana,species,1
312,annonaceae,guatteria,schomburkiana,species,1
313,annonaceae,guatteria,scytophylla,species,1
314,annonaceae,guatteria,ulea,species,1
315,annonaceae,guatteriopsis,sessiflora,species,1
316,annonaceae,isolona,hexaloba,species,1
317,annonaceae,isolona,m1,genus,0
318,annonaceae,m,m1,family,0
319,annonaceae,m1,m1,family,0
320,annonaceae,m1,m1`,species,1
321,annonaceae,m1,m2,family,0
322,annonaceae,m2,m1,family,0
323,annonaceae,m3,m1,family,0
324,annonaceae,m4,m1,family,0
325,annonaceae,malmea,aff anomala,species,1
326,annonaceae,malmea,anomala,species,1
327,annonaceae,malmea cf,m1,genus,0
328,annonaceae,malmea,depressa,species,1
329,annonaceae,malmea,dielsiana,species,1
330,annonaceae,malmea,lucida,species,1
331,annonaceae,malmea,m1,genus,0
332,annonaceae,malmea?,m1,genus,0
333,annonaceae,mitrephora,cariniana cf,species,1
334,annonaceae,mitrephora,glabra,species,1
335,annonaceae,mitrephora,m1,genus,0
336,annonaceae,mitrephora,maingayi,species,1
337,annonaceae,monanthotaxis,laurentii,species,1
338,annonaceae,monanthotaxis,m1,genus,0
339,annonaceae,monocarpia,marginalis,species,1
340,annonaceae,monodora,myristica,species,1
341,annonaceae,neouvaria,acuminatissima,species,1
342,annonaceae,oncodostigma,monosperma,species,1
343,annonaceae,oxandra,acuminata,species,1
344,annonaceae,oxandra,aff xylopioides,species,1
345,annonaceae,oxandra cf,m1,genus,0
346,annonaceae,oxandra,espintana,species,1
347,annonaceae,oxandra,euneura,species,1
348,annonaceae,oxandra,lanceolata,species,1
349,annonaceae,oxandra,longipetala,species,1
350,annonaceae,oxandra,m1,genus,0
351,annonaceae,oxandra,m2,genus,0
352,annonaceae,oxandra,macrophylla,species,1
353,annonaceae,oxandra,mediocris,species,1
354,annonaceae,oxandra,polyantha,species,1
355,annonaceae,oxandra,venezuelana,species,1
356,annonaceae,oxandra,xylopioides,species,1
357,annonaceae,oxymita,m1,genus,0
358,annonaceae,oxymitra,m1,genus,0
359,annonaceae,oxymitra,m2,genus,0
360,annonaceae,oxymitra,m3,genus,0
361,annonaceae,pachypodanthium,m1,genus,0
362,annonaceae,papualthia,m1,genus,0
363,annonaceae,papualthia,reticulata,species,1
364,annonaceae,papualthia,sympetala,species,1
365,annonaceae,phaeanthus,m1,genus,0
366,annonaceae,phaeanthus,opthalmicus,species,1
367,annonaceae,phaeanthus,opthamalicus,species,1
368,annonaceae,phaeanthus?,m1,genus,0
369,annonaceae,polyalthia,cauliflora desmantha,species,1
370,annonaceae,polyalthia,ghesquiereana,species,1
371,annonaceae,polyalthia,henriceii,species,1
372,annonaceae,polyalthia,jenkinsii,species,1
373,annonaceae,polyalthia,loheri,species,1
374,annonaceae,polyalthia,m1,genus,0
375,annonaceae,polyalthia,m2,genus,0
376,annonaceae,polyalthia,rumphii,species,1
377,annonaceae,polyalthia,sclerophylla,species,1
378,annonaceae,polyalthia,suaveolens,species,1
379,annonaceae,polyceratocarpus,parviflorus,species,1
380,annonaceae,popowia,filamentosa,species,1
381,annonaceae,popowia,m1,genus,0
382,annonaceae,popowia,m2,genus,0
383,annonaceae,popowia,pisocarpa,species,1
384,annonaceae,popowia,tomentosa,species,1
385,annonaceae,porcelia,m1,genus,0
386,annonaceae,porcelia,m2,genus,0
387,annonaceae,pseudoxandra,m1,genus,0
388,annonaceae,pseudoxandra,pacifica,species,1
389,annonaceae,pseudoxandra,polyphleba,species,1
390,annonaceae,pseuduvaria,m1,genus,0
391,annonaceae,pseuduvaria,macrophylla,species,1
392,annonaceae,psueduvaria,m1,genus,0
393,annonaceae,pyramidanthe,m1,genus,0
394,annonaceae,raimondia,m1,genus,0
395,annonaceae,raimondia,quinduensis,species,1
396,annonaceae,rollinia,chrysocarpa,species,1
397,annonaceae,rollinia,m1,genus,0
398,annonaceae,ruizodendron,ovale,species,1
399,annonaceae,sapranthus,borealis,species,1
400,annonaceae,sapranthus,foetidus,species,1
401,annonaceae,sapranthus,palanga,species,1
402,annonaceae,sphaerocoryne,m1,genus,0
403,annonaceae,stelechocarpus,cauliflorous,species,1
404,annonaceae,tabernaemontana,m1,genus,0
405,annonaceae,tetrameranthus,duckei,species,1
406,annonaceae,tetrameranthus,m1,genus,0
407,annonaceae,trigynaea,duckeii,species,1
408,annonaceae,trigynaea,ecuadorensis,species,1
409,annonaceae,trigynaea,m1,genus,0
410,annonaceae,trigynaea,sp. nov.,species,1
411,annonaceae,unonopsis,cf diospyros,species,1
412,annonaceae,unonopsis cf,m2,genus,0
413,annonaceae,unonopsis,cf unonopsis,species,1
414,annonaceae,unonopsis,floribunda,species,1
415,annonaceae,unonopsis,m1,genus,0
416,annonaceae,unonopsis,m2,genus,0
417,annonaceae,unonopsis,m3,genus,0
418,annonaceae,unonopsis,m4,genus,0
419,annonaceae,unonopsis,magnifolia,species,1
420,annonaceae,unonopsis,mathewsii,species,1
421,annonaceae,unonopsis,spectabilis,species,1
422,annonaceae,unonopsis,stipitata,species,1
423,annonaceae,unonopsis,theobromifolia,species,1
424,annonaceae,unonopsis,veneficiorum,species,1
425,annonaceae,unonopsis,williamsii,species,1
426,annonaceae,unonopsis?,m1,genus,0
427,annonaceae,unonopsis?,m3,genus,0
428,annonaceae,uvaria,confertifolia,species,1
429,annonaceae,uvaria,goeziana,species,1
430,annonaceae,uvaria,lutescens,species,1
431,annonaceae,uvaria,m1,genus,0
432,annonaceae,uvaria,m2,genus,0
433,annonaceae,uvaria,m3,genus,0
434,annonaceae,uvaria,m4,genus,0
435,annonaceae,uvaria,pandensis,species,1
436,annonaceae,uvaria,poggei,species,1
437,annonaceae,uvaria,rosenbergii,species,1
438,annonaceae,uvaria?,m1,genus,0
439,annonaceae,uvariastrum,pynaertii,species,1
440,annonaceae,uvariodendron,molundense,species,1
441,annonaceae,uvariopsis,guineensis,species,1
442,annonaceae,uvariopsis,m1,genus,0
443,annonaceae,uvariopsis,m2,genus,0
444,annonaceae,uvariopsis,solheidii,species,1
445,annonaceae,xylopia,aromatica,species,1
446,annonaceae,xylopia,benthamii,species,1
447,annonaceae,xylopia,bocatorena,species,1
448,annonaceae,xylopia,brasiliensis,species,1
449,annonaceae,xylopia,calophylla,species,1
450,annonaceae,xylopia,caudata,species,1
451,annonaceae,xylopia,cf parviflora,species,1
452,annonaceae,xylopia,columbiana,species,1
453,annonaceae,xylopia,frutescens,species,1
454,annonaceae,xylopia,m1,genus,0
455,annonaceae,xylopia,m2,genus,0
456,annonaceae,xylopia,m3,genus,0
457,annonaceae,xylopia,macrantha,species,1
458,annonaceae,xylopia,malayana,species,1
459,annonaceae,xylopia,parviflora,species,1
460,annonaceae,xylopia,quantasi,species,1
461,annonaceae,xylopia,richardi,species,1
462,annonaceae,xylopia,sericea,species,1
463,annonaceae,xylopia,sericophylla,species,1
464,annonaceae,xylopia,villosa,species,1
465,annonaceae,xylopla,ferruginea,species,1
466,apocynaceae,aganosma,marginata,species,1
467,apocynaceae,alafia,barteri,species,1
468,apocynaceae,alafia,thouarsii,species,1
469,apocynaceae,alexia?,m1,genus,0
470,apocynaceae,allomarkgrafia,cf. plumeriifolia,species,1
471,apocynaceae,alstonia,acholaris,species,1
472,apocynaceae,alstonia,boonei,species,1
473,apocynaceae,alstonia cf,plumosa,species,1
474,apocynaceae,alstonia,comptonii,species,1
475,apocynaceae,alstonia,comptonii cf,species,1
476,apocynaceae,alstonia,longifolia,species,1
477,apocynaceae,alstonia,m1,genus,0
478,apocynaceae,alstonia,pagintha,species,1
479,apocynaceae,alstonia,scholaris,species,1
480,apocynaceae,alyxia,kyksia,species,1
481,apocynaceae,alyxia,m1,genus,0
482,apocynaceae,alyxia,m2,genus,0
483,apocynaceae,alyxia,m3,genus,0
484,apocynaceae,alyxia,ruscifolia,species,1
485,apocynaceae,alyxia?,m1,genus,0
486,apocynaceae,ambelania,duckei,species,1
487,apocynaceae,ambelania,occidentalis,species,1
488,apocynaceae,ancyclobotrys,gabonensis,species,1
489,apocynaceae,ancyclobotrys,scandens,species,1
490,apocynaceae,ancylobothrys,m1,genus,0
491,apocynaceae,anodendron,affine,species,1
492,apocynaceae,anodendron,m1,genus,0
493,apocynaceae,anodendron,manubriatum,species,1
494,apocynaceae,anodendron?,m1,genus,0
495,apocynaceae,anthoclitandra,robustior,species,1
496,apocynaceae,arrabidaea,aelloi,species,1
497,apocynaceae,arrabidaea,corallina,species,1
498,apocynaceae,aspidosperma aff,m1,genus,0
499,apocynaceae,aspidosperma,alstonii,species,1
500,apocynaceae,aspidosperma,carapanauba,species,1
501,apocynaceae,aspidosperma,cf annonas,species,1
502,apocynaceae,aspidosperma,cf curranii,species,1
503,apocynaceae,aspidosperma,cf cylindrocarpon,species,1
504,apocynaceae,aspidosperma,cf marcgravianum,species,1
505,apocynaceae,aspidosperma,cf schultesii,species,1
506,apocynaceae,aspidosperma,cf verruculosum,species,1
507,apocynaceae,aspidosperma,cruenta,species,1
508,apocynaceae,aspidosperma,cruentum,species,1
509,apocynaceae,aspidosperma,cuneatum,species,1
510,apocynaceae,aspidosperma,curranii,species,1
511,apocynaceae,aspidosperma,cuspa,species,1
512,apocynaceae,aspidosperma,cylindrocarpon,species,1
513,apocynaceae,aspidosperma,desmanthus,species,1
514,apocynaceae,aspidosperma,excelsum,species,1
515,apocynaceae,aspidosperma,jaunechense,species,1
516,apocynaceae,aspidosperma,jaunochense,species,1
517,apocynaceae,aspidosperma,m1,genus,0
518,apocynaceae,aspidosperma,m2,genus,0
519,apocynaceae,aspidosperma,m3,genus,0
520,apocynaceae,aspidosperma,marcgravianum,species,1
521,apocynaceae,aspidosperma,megalocarpon,species,1
522,apocynaceae,aspidosperma,myristicifolium,species,1
523,apocynaceae,aspidosperma,myristifolium,species,1
524,apocynaceae,aspidosperma,nitidum,species,1
525,apocynaceae,aspidosperma,parvifolium,species,1
526,apocynaceae,aspidosperma,polyneura,species,1
527,apocynaceae,aspidosperma,polyneuron,species,1
528,apocynaceae,aspidosperma,pyrifolia,species,1
529,apocynaceae,aspidosperma,pyrifolium,species,1
530,apocynaceae,aspidosperma,quebrado-blanco,species,1
531,apocynaceae,aspidosperma,tambopatensis,species,1
532,apocynaceae,aspidosperma,tomentosum,species,1
533,apocynaceae,bonafousia,disticha,species,1
534,apocynaceae,bonafousia,m1,genus,0
535,apocynaceae,bonafousia,sahanho,species,1
536,apocynaceae,bonafousia,sananho,species,1
537,apocynaceae,bonafousia,undulata,species,1
538,apocynaceae,callichlamys,latifolia,species,1
539,apocynaceae,cerberiopsis,m1,genus,0
540,apocynaceae,chilocarpus,m1,genus,0
541,apocynaceae,clitandra,cymulosa,species,1
542,apocynaceae,clusia,m1,genus,0
543,apocynaceae,condylocarpon,m1,genus,0
544,apocynaceae,couma,macrocarpa,species,1
545,apocynaceae,cyclocotyla,congolensis,species,1
546,apocynaceae,dictyophleba,m1,genus,0
547,apocynaceae,dictyophleba,ochracea,species,1
548,apocynaceae,dictyophleba,stipulosa,species,1
549,apocynaceae,dictyophlebia,m1,genus,0
550,apocynaceae,formosia,benthamiana?,species,1
551,apocynaceae,forsteronia,?,genus,0
552,apocynaceae,forsteronia,acouci,species,1
553,apocynaceae,forsteronia,affinis,species,1
554,apocynaceae,forsteronia,amblybasis,species,1
555,apocynaceae,forsteronia,amblybasis ssp decipiens,species,1
556,apocynaceae,forsteronia,glabrescens,species,1
557,apocynaceae,forsteronia,m1,genus,0
558,apocynaceae,forsteronia,m2,genus,0
559,apocynaceae,forsteronia,myriantha,species,1
560,apocynaceae,forsteronia,peninsularis,species,1
561,apocynaceae,forsteronia,spicata,species,1
562,apocynaceae,forsteronia,subcordata,species,1
563,apocynaceae,fosteronia,graciloides,species,1
564,apocynaceae,funtumia,africana,species,1
565,apocynaceae,funtumia,elastica,species,1
566,apocynaceae,geissospermum,laeve,species,1
567,apocynaceae,himatanthus,articulatus,species,1
568,apocynaceae,himatanthus,m1,genus,0
569,apocynaceae,himatanthus,sucuuba,species,1
570,apocynaceae,holarrhena,antidysenterica,species,1
571,apocynaceae,hunteria,camerunensis,species,1
572,apocynaceae,hunteria,m1,genus,0
573,apocynaceae,hunteria,umbellata,species,1
574,apocynaceae,kibatalia,gitingensis,species,1
575,apocynaceae,kibatalia,maingayi,species,1
576,apocynaceae,lacmellea,cf panamensis,species,1
577,apocynaceae,lacmellea,floribunda,species,1
578,apocynaceae,lacmellea,klugii,species,1
579,apocynaceae,lacmellea,m1,genus,0
580,apocynaceae,lacmellea,panamamensis,species,1
581,apocynaceae,lacmellea,panamensis,species,1
582,apocynaceae,lacmellea,pauciflora,species,1
583,apocynaceae,landolphia,dulcis,species,1
584,apocynaceae,landolphia,incerta,species,1
585,apocynaceae,landolphia,m1,genus,0
586,apocynaceae,landolphia,m2,genus,0
587,apocynaceae,landolphia,m3,genus,0
588,apocynaceae,landolphia,m4,genus,0
589,apocynaceae,landolphia,m5,genus,0
590,apocynaceae,landolphia,m6,genus,0
591,apocynaceae,landolphia,membranacea,species,1
592,apocynaceae,landolphia,micrantha,species,1
593,apocynaceae,landolphia,owariensis,species,1
594,apocynaceae,landolphia,togoloana,species,1
595,apocynaceae,laubertia,m1,genus,0
596,apocynaceae,laxoplumeria,tessmanii,species,1
597,apocynaceae,m,m1,family,0
